Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G42 9BS,No,55.826604,-4.254955,258842,661562,NS588615,12/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,34,,,"Mount Florida",0.4,"",""
G42 9BT,Yes,55.82724,-4.25314,258958,661629,NS589616,1/1/1980 12:00:00 AM,,37,77,41,"Mount Florida",0.5,"",""
G42 9BU,Yes,55.827041,-4.252681,258986,661606,NS589616,1/1/1980 12:00:00 AM,,34,29,12,"Mount Florida",0.5,"",""
G42 9BW,Yes,55.827018,-4.253957,258906,661606,NS589616,1/1/1980 12:00:00 AM,,36,64,43,"Mount Florida",0.5,"",""
G42 9BX,No,55.827918,-4.250433,259130,661699,NS591616,1/1/1980 12:00:00 AM,5/1/2001 12:00:00 AM,29,,,"Mount Florida",0.7,"",""
G42 9BY,No,55.828267,-4.250501,259127,661738,NS591617,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,31,,,"Crosshill",0.7,"",""
G42 9BZ,No,55.828242,-4.248456,259255,661731,NS592617,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,22,,,"Crosshill",0.8,"",""
G42 9DA,No,55.827786,-4.248828,259230,661681,NS592616,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,23,,,"Mount Florida",0.8,"",""
G42 9DB,Yes,55.825234,-4.2532,258947,661406,NS589614,6/1/2001 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9DD,Yes,55.825234,-4.2532,258947,661406,NS589614,6/1/2001 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9DE,Yes,55.825234,-4.2532,258947,661406,NS589614,6/1/2001 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9DF,Yes,55.825234,-4.2532,258947,661406,NS589614,6/1/2001 12:00:00 AM,,36,,,"Mount Florida",0.5,"",""
G42 9DG,No,55.826304,-4.255161,258828,661529,NS588615,2/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,31,,,"Mount Florida",0.4,"",""
G42 9DH,Yes,55.827207,-4.259828,258539,661639,NS585616,1/1/1980 12:00:00 AM,,37,79,38,"Mount Florida",0.1,"",""
G42 9DJ,Yes,55.82706,-4.259468,258561,661622,NS585616,1/1/1980 12:00:00 AM,,38,22,14,"Mount Florida",0.1,"",""
G42 9DL,Yes,55.82684,-4.259743,258543,661598,NS585615,1/1/1980 12:00:00 AM,,38,55,33,"Mount Florida",0.1,"",""
G42 9DN,Yes,55.826477,-4.260424,258499,661559,NS584615,1/1/1980 12:00:00 AM,,36,38,17,"Mount Florida",0.0,"",""
G42 9DP,Yes,55.82638,-4.259349,258566,661546,NS585615,1/1/1980 12:00:00 AM,,38,24,16,"Mount Florida",0.1,"",""
G42 9DQ,Yes,55.827482,-4.259988,258530,661670,NS585616,1/1/1980 12:00:00 AM,,36,68,27,"Mount Florida",0.1,"",""
G42 9DR,Yes,55.826255,-4.259773,258539,661533,NS585615,1/1/1980 12:00:00 AM,,39,50,32,"Mount Florida",0.1,"",""
G42 9DS,Yes,55.826043,-4.260274,258507,661511,NS585615,1/1/1980 12:00:00 AM,,38,44,37,"Mount Florida",0.1,"",""
G42 9DT,Yes,55.825847,-4.259462,258557,661487,NS585614,1/1/1980 12:00:00 AM,,38,56,40,"Mount Florida",0.1,"",""
G42 9DU,Yes,55.825453,-4.258912,258590,661442,NS585614,1/1/1980 12:00:00 AM,,36,68,54,"Mount Florida",0.2,"",""
G42 9DW,Yes,55.826569,-4.259823,258537,661568,NS585615,1/1/1980 12:00:00 AM,,38,62,31,"Mount Florida",0.1,"",""
