Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G31 2LT,Yes,55.860636,-4.2188,261228,665276,NS612652,1/1/1980 12:00:00 AM,,45,30,16,"Duke Street",0.4,"",""
G31 2LU,Yes,55.861527,-4.218755,261234,665375,NS612653,1/1/1980 12:00:00 AM,,47,29,16,"Duke Street",0.5,"",""
G31 2LW,Yes,55.859426,-4.219384,261187,665142,NS611651,1/1/1980 12:00:00 AM,,37,30,15,"Duke Street",0.4,"",""
G31 2LX,Yes,55.861506,-4.220669,261114,665376,NS611653,1/1/1980 12:00:00 AM,,45,35,15,"Bellgrove",0.6,"",""
G31 2LY,Yes,55.861892,-4.220707,261113,665419,NS611654,1/1/1980 12:00:00 AM,,47,41,15,"Duke Street",0.6,"",""
G31 2LZ,Yes,55.86094,-4.221628,261052,665315,NS610653,1/1/1980 12:00:00 AM,,44,25,9,"Bellgrove",0.5,"",""
G31 2NA,Yes,55.859944,-4.221555,261053,665204,NS610652,1/1/1980 12:00:00 AM,,42,35,19,"Bellgrove",0.4,"",""
G31 2NB,Yes,55.859442,-4.220983,261087,665147,NS610651,5/1/2006 12:00:00 AM,,36,41,19,"Bellgrove",0.4,"",""
G31 2ND,Yes,55.860697,-4.222157,261018,665289,NS610652,8/1/2009 12:00:00 AM,,44,2,1,"Bellgrove",0.5,"",""
G31 2NE,Yes,55.860327,-4.22228,261009,665248,NS610652,1/1/1980 12:00:00 AM,,44,10,3,"Bellgrove",0.4,"",""
G31 2NF,No,55.858739,-4.222109,261014,665071,NS610650,12/1/1986 12:00:00 AM,1/1/2010 12:00:00 AM,32,,,"Bellgrove",0.3,"",""
G31 2NG,Yes,55.860245,-4.227277,260696,665249,NS606652,3/1/1982 12:00:00 AM,,31,56,30,"Bellgrove",0.4,"",""
G31 2NH,Yes,55.860514,-4.226334,260756,665277,NS607652,1/1/1982 12:00:00 AM,,35,65,36,"Bellgrove",0.4,"",""
